tx_id,date,description,amount,vendor,category,confidence,source_file,created_at
seed_050,2026-03-29,Amazon Office Supplies,134.60,Amazon,Office,0.90,seed_history.csv,2026-03-29T09:00:00Z
seed_051,2026-04-03,Stripe Fee,0.80,Stripe,Banking Fees,0.97,seed_history.csv,2026-04-03T09:00:00Z
seed_052,2026-04-05,Spotify Premium,11.99,Spotify,Subscriptions,0.99,seed_history.csv,2026-04-05T09:00:00Z
seed_053,2026-04-08,GitHub,21.00,GitHub,Software / SaaS,0.98,seed_history.csv,2026-04-08T09:00:00Z
seed_054,2026-04-10,Notion,10.00,Notion,Software / SaaS,0.98,seed_history.csv,2026-04-10T09:00:00Z
seed_055,2026-04-14,Staples Office Supplies,58.40,Staples,Office,0.92,seed_history.csv,2026-04-14T09:00:00Z
seed_056,2026-04-15,AWS,2870.00,AWS,Cloud Infrastructure,0.99,seed_history.csv,2026-04-15T09:00:00Z
seed_057,2026-04-18,Stripe Fee,1.55,Stripe,Banking Fees,0.97,seed_history.csv,2026-04-18T09:00:00Z
seed_058,2026-04-22,Facebook Ads,810.00,Facebook Ads,Marketing,0.95,seed_history.csv,2026-04-22T09:00:00Z
seed_059,2026-04-26,Stripe Fee,2.75,Stripe,Banking Fees,0.97,seed_history.csv,2026-04-26T09:00:00Z
seed_060,2026-04-29,IKEA Office Furniture,165.30,IKEA,Office,0.88,seed_history.csv,2026-04-29T09:00:00Z
